name_elections;amco;name_hdng
Edam;10884;EDAM-VOLENDAM
Enkhuizen;10729;ENKHUIZEN
Graft;10484;GRAFT
Grootebroek;11337;GROOTEBROEK
Grosthuizen;11271;GROSTHUIZEN
Hensbroek;10181;HENSBROEK
Hoogkarspel;10642;HOOGKARSPEL
Hoogwoud;11029;HOOGWOUD
Hoorn;11392;HOORN
Ilpendam;10809;ILPENDAM
Jisp;10481;JISP
Huizen;11170;HUIZEN
Katwoude;11136;KATWOUDE
Kortenhoef;10467;KORTENHOEF
Kwadijk;10775;KWADIJK
Landsmeer;11225;LANDSMEER
Marken;10901;MARKEN
Middelie;10452;MIDDELIE
Monnikendam;10983;MONNICKENDAM
Muiden;10958;MUIDEN
Naarden;10187;NAARDEN
Nederhorst den Berg;10715;NEDERHORST DEN BERG
Nieuwendam;10177;NIEUWENDAM
Oosthuizen;11121;OOSTHUIZEN
Purmerend;11066;PURMEREND
Ransdorp;10789;RANSDORP
Schellingwoude;10651;SCHELLINGWOUDE
Warder;11073;WARDER
Weesp;10773;WEESP
Weesperkarspel;10377;WEESPERKARSPEL
Oostzaan;11303;OOSTZAAN
Oudorp;10363;OUDORP
Schermerhorn;10308;SCHERMERHORN
Uitgeest;11238;UITGEEST
Ursem;10696;URSEM
Westzaan;11381;WESTZAAN
Wijdewormer;10434;WIJDEWORMER
Wormer;10648;WORMER
Wormerveer;10361;WORMERVEER
Zaandam;11044;ZAANDAM
Zaandijk;11404;ZAANDIJK
Zuid- en Noord-Schermer;11311;ZUID- EN NOORD-SCHERMER
Bennebroek;10734;BENNEBROEK
Berkenrode;10223;BERKENRODE
Bloemendaal;10850;BLOEMENDAAL
Haarlem;10357;HAARLEM
Haarlemmerliede;10041;HAARLEMMERLIEDE
Haarlemmermeer;11387;HAARLEMMERMEER
Heemstede;11288;HEEMSTEDE
Hillegom;11236;HILLEGOM
Houtrijk en Polanen;11252;HOUTRIJK EN POLANEN
Lisse;10197;LISSE
Noordwijk;10769;NOORDWIJK
Noordwijkerhout;11134;NOORDWIJKERHOUT
Schoorl;10627;SCHOORL
Schoten;10382;SCHOTEN
Spaarndam;10192;SPAARNDAM
Spaarnwoude;10508;SPAARNWOUDE
Velzen;10620;VELSEN
Wijk 1-14;NA;NA
Wijk 16-29,31,60;NA;NA
