b1_nummer;politician;vote;law;date;house;pdc_naam;category
01344;Teenstra;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Teenstra;fiscal
01451;Vliegen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Vliegen;fiscal
00615;Hugenholtz;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Hugenholtz;fiscal
01023;Patijn;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Patijn;fiscal
00001;Aalberse;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Aalberse;fiscal
00544;Heeres;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Heeres;fiscal
00369;Eerdmans;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Eerdmans;fiscal
00087;van den Berch van Heemstede;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Berch van Heemstede;fiscal
00634;Jannink;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Jannink;fiscal
01152;Ruys de Beerenbrouck;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Ruijs de Beerenbrouck;fiscal
00106;Beumer;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Beumer;fiscal
00303;van Deventer;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Deventer;fiscal
01177;de Savornin Lohman;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Savornin Lohman;fiscal
00325;Dolk;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Dolk;fiscal
01125;Roodhuyzen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Roodhuyzen;fiscal
00410;Fock;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Fock;fiscal
00949;de Muralt;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Muralt;fiscal
01075;van Raalte;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Raalte;fiscal
00981;Nolens;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Nolens;fiscal
01460;van Vollenhoven;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Vollenhoven;fiscal
00175;Bos;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Bos;fiscal
01198;Schim van der Loeff;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Schim van der Loeff;fiscal
00975;J.W.J.C.M. van Nispen tot Sevenaer;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Nispen tot Sevenaer;fiscal
00613;Hubrecht;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Hubrecht;fiscal
00655;de Jong;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Jong;fiscal
00977;O.F.A.M. van Nispen tot Sevenaer;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Nispen tot Sevenaer;fiscal
00875;Marchant;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Marchant;fiscal
00071;de Beaufort;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Beaufort 2;fiscal
01147;Rutgers;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Rutgers;fiscal
00408;Fleskens;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Fleskens;fiscal
00356;Duynstee;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Duynstee;fiscal
00635;Janssen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Jansen;fiscal
00892;de Meester;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Meester;fiscal
00152;Boissevain;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Boissevain;fiscal
01009;Otto;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Otto;fiscal
00448;Gerretson;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Gerretson;fiscal
01384;Tydeman;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Tydeman;fiscal
01538;van Wichen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Wichen;fiscal
01269;Smeenge;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Smeenge;fiscal
00815;Lieftinck;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Lieftinck;fiscal
01201;Schimmelpenninck;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Schimmelpenninck;fiscal
01445;Visser van IJzendcorn;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Visser van IJzendoorn;fiscal
00011;Albarda;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Albarda;fiscal
01400;van de Velde;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Velde;fiscal
01189;Schaper;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Schaper;fiscal
00635;Jansen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Jansen;fiscal
01289;J.H.W.Q. ter Spill;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Spill;fiscal
00822;Limburg;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Limburg;fiscal
00432;de Geer;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Geer;fiscal
00772;J. ter Laan;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Laan;fiscal
00245;W.K.F.P. graaf van Bylandt;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Bylandt;fiscal
01170;Sannes;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Sannes;fiscal
00709;Knobel;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Knobel;fiscal
00111;Bichon van IJsselmonde;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Bichon van IJsselmonde;fiscal
00733;D.A.P.N. Koolen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Koolen;fiscal
01003;Oosterbaan;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Oosterbaan;fiscal
01288;Spiekman;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Spiekman;fiscal
00469;Goeman Borgesius;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Goeman Borgesius;fiscal
00228;Brummelkamp;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Brummelkamp;fiscal
00157;Bongaerts;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Bongaerts;fiscal
00940;de Monte verLoren;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Monté VerLoren;fiscal
01494;van Vuuren;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Vuuren;fiscal
01580;de Wijkerslooth de Weerdesteyn;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Wijkerslooth de Weerdesteyn;fiscal
00354;Duymaer van Twist;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Duymaer van Twist;fiscal
00072;Beckers;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Beckers;fiscal
00150;Bogaardt;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Bogaardt;fiscal
00034;Arts;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Arts;fiscal
01470;van der Voort van Zijp;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Voort van Zijp;fiscal
01194;Scheurer;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Scheurer;fiscal
01458;van Vlijmen;0;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Vlijmen;fiscal
00650;K.H. de Jong;1;Successiewet 1878;1878-05-24;Tweede Kamer;Jong;fiscal
00071;de Beaufort;1;Successiewet 1878;1878-05-24;Tweede Kamer;Beaufort 2;fiscal
00625;Idzerda;1;Successiewet 1878;1878-05-24;Tweede Kamer;Idzerda;fiscal
01424;Verniers van der Loeff;1;Successiewet 1878;1878-05-24;Tweede Kamer;Verniers van der Loeff;fiscal
00203;Bredius jr;1;Successiewet 1878;1878-05-24;Tweede Kamer;Bredius jr.;fiscal
01022;Patijn;1;Successiewet 1878;1878-05-24;Tweede Kamer;Patijn;fiscal
01121;Rombach;1;Successiewet 1878;1878-05-24;Tweede Kamer;Rombach;fiscal
