b1_nummer;politician;vote;law;date;house;pdc_naam;category;district;sum_industry;sum_services;sum_agriculture;industry;services;agriculture;total_pers_taxes;vermogen_tax;income_tax;catholics;geref;hervormd;catholic_pct;geref_pct;hervormd_pct
00455;Gevers Deynoot;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Gevers Deynoot;fiscal;Dordrecht;12704;11826;2162;0,475947849542934;0,4430461986031218;0,08099526321876120;166772;8742;11073;4255;2832;104614;0,038092765507918458;2,53533988057403e-02;0,93655383568634121
01142;de Ruiter Zylker;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Ruiter Zijlker;fiscal;Appingedam;27626;16315;19462;0,435720707222056;0,2573204403601682;0,30695372882096311;181239;7554;10258;4713;10675;88014;0,045579389180093230;1,03237848397516e-01;0,85118276242239033
00285;Dam;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Dam;fiscal;Zutphen;14595;6927;7793;0,497867985672864;0,2362913988769302;0,26582994502647672;130087;4675;8061;28517;1406;62982;0,306947957591087672;1,51337387654055e-02;0,67791830364350680
00299;van Delden;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Delden;fiscal;Deventer;9405;5500;4823;0,476733576642336;0,2787848283612968;0,24446549583427155;78201;1948;2897;9048;709;39745;0,182780493717425552;1,43226536301564e-02;0,80289685265241806
00878;du Marchie van Voorthuysen;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Marchie van Voorthuysen;fiscal;Utrecht;22414;26504;8009;0,393732323853356;0,4655755035022937;0,14068682886339964;317440;7261;15929;37171;771;59433;0,381730423620025683;7,91784338896021e-03;0,61035173299101408
00808;Lenting;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Lenting;fiscal;Zutphen;14595;6927;7793;0,497867985672864;0,2362913988769302;0,26582994502647672;130087;4675;8061;28517;1406;62982;0,306947957591087672;1,51337387654055e-02;0,67791830364350680
01572;Wybenga;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Wybenga;fiscal;Sneek;22029;12306;15176;0,444931429379330;0,2485485935028382;0,30651345032508842;178607;3230;6181;9509;4162;84167;0,097191275373576733;4,25397084977207e-02;0,86026901612870255
00421;Fransen van de Putte;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Fransen van de Putte;fiscal;Rotterdam;22492;53633;535;0,293399426037047;0,6996190285961200;0,00697877732775010;417461;66;440;34998;4180;63368;0,341290737815224399;4,07621945273341e-02;0,61794706765744156
00102;Bergsma;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Bergsma;fiscal;Dokkum;13367;5038;11109;0,452903706715457;0,1706960320910193;0,37638968907935899;76265;1911;2912;904;4654;46789;0,017269375513400961;8,89067186276195e-02;0,89382390585897953
01272;Smidt;1;Inkomstenbelasting 1872;1872-05-02;Tweede Kamer;Smidt;fiscal;Assen;20430;10496;9475;0,505680552461573;0,2597922979155780;0,23451945451163797;106308;9060;8901;6988;11526;94937;0,061594873557747398;1,01594520982627e-01;0,83681060545962571
