politician;vote;law;date;house
Smeenge;1;Successiewet 1911;1911-03-10;Tweede Kamer
Hubrecht;1;Successiewet 1911;1911-03-10;Tweede Kamer
Thomson;1;Successiewet 1911;1911-03-10;Tweede Kamer
Lieftinck;1;Successiewet 1911;1911-03-10;Tweede Kamer
Goeman Borgesius;1;Successiewet 1911;1911-03-10;Tweede Kamer
de Visser;1;Successiewet 1911;1911-03-10;Tweede Kamer
de Vlugt;1;Successiewet 1911;1911-03-10;Tweede Kamer
de Kanter;1;Successiewet 1911;1911-03-10;Tweede Kamer
Kuyper;1;Successiewet 1911;1911-03-10;Tweede Kamer
J.E.W. Duijs;1;Successiewet 1911;1911-03-10;Tweede Kamer
van Best;1;Successiewet 1911;1911-03-10;Tweede Kamer
Duymaer van Twist;1;Successiewet 1911;1911-03-10;Tweede Kamer
van Vuuren;1;Successiewet 1911;1911-03-10;Tweede Kamer
