politician;vote;law;house;date
Rutgers;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
van Ryckevorsel;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
J. ter Laan;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
A. Staalman;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
Fock;1;Arbeidswet 1919;Tweede Kamer;1919-07-11
van Ravesteijn;0;Arbeidswet 1919;Tweede Kamer;1919-07-11
Wijnkoop;0;Arbeidswet 1919;Tweede Kamer;1919-07-11
Kolthek;0;Arbeidswet 1919;Tweede Kamer;1919-07-11
Verhey;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
ter Laan;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Gijn;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Pijnacker Hordijk;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Röell;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Troelstra;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Drucker;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Schaper;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
den Tex;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Hugenholtz;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Melchers;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Nolting;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Lieftinck;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
de Klerk;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Rink;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Ketelaar;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van der Zwaag;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Helsdingen;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Smidt;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Karnebeek;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Ferf;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Styrum;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Smeenge;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
J.Th. de Visser;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Cremer;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Dolk;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Bos;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Goeman Borgesius;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Tydeman;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Hennequin;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Hubrecht;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Zijlma;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van Kol;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Goekoop;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Roessingh;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
Willinge;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
vau Foreest;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
de Boer;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
van der Vlugt;1;Hoger Onderwijswet 1904;Tweede Kamer;1904-03-24
