b1_nummer;politician;vote;law;date;house;pdc_naam;category;district
01269;Smeenge;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Smeenge;fiscal;Meppel
00815;Lieftinck;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Lieftinck;fiscal;Zutphen
01201;Schimmelpenninck;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Schimmelpenninck;fiscal;Ede
01445;Visser van IJzendcorn;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Visser van IJzendoorn;fiscal;Gorinchem
00011;Albarda;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Albarda;fiscal;Enschede
01400;van de Velde;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Velde;fiscal;Delft
01189;Schaper;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Schaper;fiscal;Appingedam
00635;Jansen;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Jansen;fiscal;'s-Gravenhage III
01289;J.H.W.Q. ter Spill;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Spill;fiscal;Utrecht I
00822;Limburg;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Limburg;fiscal;Groningen
00432;de Geer;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Geer;fiscal;Schiedam
00772;J. ter Laan;1;Inkomstenbelasting 1914;1914-06-03;Tweede Kamer;Laan;fiscal;Rotterdam V
