"achternaam","voornaam","tussenvoegsel","jaar","maand","dag","type verkiezing","districtsnaam","aantal stemmen","omvang_electoraat","zetels","drempel"
"Blom","F.W.C. ",,"1868","1","22","algemeen","Rotterdam","1293","2994","3.0","1153.0"
"Blom","Ph. van",,"1868","1","22","algemeen","Dokkum","1061","2460","2.0","878.0"
"Blom","F.W.C. ",,"1869","6","8","periodiek","Rotterdam","1119","2515","2.0","771.0"
"Blom","F.W.C. ",,"1873","6","10","periodiek","Rotterdam","825","2666","2.0","632.0"
"Blom","Ph. van",,"1880","11","23","tussentijds","Sneek","1865","4609","1.0","1798.0"
"Blom","Ph. van",,"1883","6","12","periodiek","Sneek","2160","4704","1.0","2027.0"
"Blom","Ph. van",,"1884","10","28","algemeen","Sneek","2197","4698","3.0","1981.0"
"Blooker","C.F.J. ",,"1905","6","28","herstemming","Amsterdam VII","2062","4419","1.0","1998.0"
"Blum","J.H. ",,"1909","6","11","algemeen","Middelburg","4953","10198","1.0","4379.0"
"Blussé","P.L.F. ",,"1887","12","27","herstemming","Leiden","1113","3244","1.0","1027.0"
"Blussé van Oud-Alblas","P. ",,"1850","9","11","herstemming","Dordrecht","845","2109","1.0","691.0"
"Blussé van Oud-Alblas","P. ",,"1852","6","8","periodiek","Dordrecht","616","2123","1.0","561.0"
"Blussé van Oud-Alblas","P. ",,"1860","6","26","herstemming","Dordrecht","699","2037","1.0","626.0"
"Blussé van Oud-Alblas","P. ",,"1864","6","28","herstemming","Dordrecht","881","2168","1.0","831.0"
"Blussé van Oud-Alblas","P. ",,"1866","11","13","herstemming","Dordrecht","945","2165","2.0","939.0"
"Blussé van Oud-Alblas","P. ",,"1868","1","22","algemeen","Dordrecht","902","2231","2.0","848.0"
"Blussé van Oud-Alblas","P. ",,"1869","6","8","periodiek","Dordrecht","1000","2037","1.0","770.0"
"Blussé van Oud-Alblas","P. ",,"1872","8","1","tussentijds","Deventer","688","2814","1.0","506.0"
"Blussé van Oud-Alblas","P. ",,"1875","6","8","periodiek","Deventer","1299","2923","1.0","1101.0"
"Blussé van Oud-Alblas","P. ",,"1879","6","10","periodiek","Deventer","1092","3090","1.0","975.0"
"Blussé van Oud-Alblas","P. ",,"1883","6","12","periodiek","Deventer","1426","3243","1.0","1287.0"
"Blussé van Oud-Alblas","P. ",,"1884","10","28","algemeen","Deventer","1572","3297","2.0","1391.0"
"Blussé van Oud-Alblas","P. ",,"1886","6","15","algemeen","Deventer","1804","3470","2.0","1522.0"
"Boer","K. de",,"1894","4","10","algemeen","Zaandam","1533","3755","1.0","1325.0"
"Boer","K. de",,"1897","6","15","algemeen","Zaandam","3768","7524","1.0","2856.0"
"Boer","K. de",,"1901","6","27","herstemming","Zaandam","3025","7289","1.0","2433.0"
"Boer","K. de",,"1905","6","28","herstemming","Zaandam","4135","8980","1.0","3466.0"
"Boetzelaar van Dubbeldam","C.W.J. baron van",,"1862","9","30","herstemming","Gorinchem","1201","2969","1.0","1066.0"
"Bogaardt","W.H. ",,"1905","10","27","tussentijds","Breda","3183","6755","1.0","2615.0"
"Bogaardt","W.H. ",,"1909","6","11","algemeen","Breda","4281","7653","1.0","2803.0"
"Bogaardt","W.H. ",,"1917","6","15","algemeen","Breda","2882","8623","1.0","1709.0"
"Boissevain","W. ",,"1913","6","25","herstemming","Amsterdam VII","2555","5237","1.0","2209.0"
"Boissevain","W. ",,"1917","6","15","algemeen","Amsterdam VII","1337","5874","1.0","1090.0"
"Bomans","J.B. ",,"1916","12","2","tussentijds","Haarlemmermeer","6500","14679","1.0","5247.0"
"Bomans","J.B. ",,"1917","6","15","algemeen","Haarlemmermeer","5775","15112","1.0","3535.0"
"Bongaerts","M.C.E. ",,"1913","6","17","algemeen","Roermond","3783","7541","1.0","3130.0"
"Boogaardt","W.H. ",,"1913","6","17","algemeen","Breda","4089","8017","1.0","2803.0"
"Boogaerdt","M. ",,"1891","6","23","herstemming","Gouda","1382","2985","1.0","1368.0"
"Bool","H.J. ",,"1881","11","29","tussentijds","Middelburg","989","2697","1.0","981.0"
"Bool","H.J. ",,"1888","3","6","algemeen","Leiden","1102","2361","1.0","1062.0"
"Bool","H.J. ",,"1891","6","9","algemeen","Leiden","1049","2369","1.0","958.0"
"Bool","H.J. ",,"1894","4","10","algemeen","Leiden","1023","2276","1.0","858.0"
"Borch van Verwolde","A.P.R.C. baron van",,"1884","7","8","herstemming","Zevenbergen","910","2155","1.0","770.0"
